"EventType","EventID","Order","SubjectID","ToolInstances","CodeStateID","ServerTimestamp","ProblemID","Correct"
"Submit","f48cba2510087c502dde920d948b364b",1373,"S002","ITAP; Python",1061,"2016-02-05T19:46:00","nearestBusStop",TRUE
"Submit","93232279e317e6a46f6bdf001ab13a39",1374,"S002","ITAP; Python",1062,"2016-02-05T19:48:00","backwardsCombine",TRUE
"X-HintRequest","4468830a73173d348adbb2159ee9a0fa",1375,"S002","ITAP; Python",1063,"2016-02-05T19:49:00","firstAndLast",FALSE
"X-HintRequest","2961b2aedf2483e7cf584a43aca4192e",1376,"S002","ITAP; Python",1064,"2016-02-05T19:50:00","firstAndLast",FALSE
"X-HintRequest","0f36ef933aaf49a51243ec78543a995d",1377,"S002","ITAP; Python",1065,"2016-02-05T19:51:00","firstAndLast",FALSE
"X-HintRequest","5c70d95383a9140d5ff6ed5b1c164032",1378,"S002","ITAP; Python",1066,"2016-02-05T19:51:00","firstAndLast",FALSE
"X-HintRequest","4b7b63d2a540bc28aa9f1a7efa8437aa",1379,"S002","ITAP; Python",1066,"2016-02-05T19:52:00","firstAndLast",FALSE
"X-HintRequest","938c0a3c1517c59373c550ab59707a09",1380,"S002","ITAP; Python",1067,"2016-02-05T19:52:00","firstAndLast",FALSE
"Submit","21ec3c4beaf552084cad7b60350767a9",1381,"S002","ITAP; Python",1068,"2016-02-05T19:53:00","firstAndLast",FALSE
"Submit","d5f06ee0757f7c63be6aa1d9962b7df0",1382,"S002","ITAP; Python",1069,"2016-02-05T19:54:00","firstAndLast",FALSE
"Submit","c0362a4f0ae36550b547a59ad46761c1",1383,"S002","ITAP; Python",1070,"2016-02-05T19:56:00","firstAndLast",FALSE
"Submit","9e5c5f9252e9375ad39500c18924cfb0",1384,"S002","ITAP; Python",1071,"2016-02-05T19:56:00","firstAndLast",FALSE
"Submit","7f9683270cb41ce10b57e02b5a5dd4fc",1385,"S002","ITAP; Python",1072,"2016-02-05T19:56:00","firstAndLast",FALSE
